icmT,accX,accY,accZ,accT,gyrX,gyrY,gyrZ,gyrT,magX,magY,magZ,magT
0.000000,0.298828,-0.966308,0.244629,0.000000,-0.095367,-1.207352,-0.482559,0.000000,-19.273636,-1.578430,-29.278519,0.000000
10.000000,0.323730,-0.959472,0.252441,1.000000,-0.339508,-0.963211,-0.970840,1.000000,-19.273636,-2.478424,-30.478516,1.000000
20.000000,0.326660,-0.967773,0.246582,2.000000,0.694275,-0.658035,-0.116348,2.000000,-19.573639,-2.478424,-30.478516,2.000000
30.000000,0.311523,-0.964844,0.243652,3.000000,0.083923,-0.291824,-0.726700,3.000000,-19.573639,-2.178421,-28.078522,3.000000
40.000000,0.315918,-0.954590,0.246094,4.000000,-0.339508,-0.291824,0.123978,4.000000,-18.523636,-2.178421,-28.078522,4.000000
50.000000,0.302246,-0.967285,0.246582,5.000000,0.205994,-0.535965,-0.238419,5.000000,-20.173645,-2.928421,-29.428528,5.000000
60.000000,0.314453,-0.957031,0.231934,6.000000,-0.461578,-0.658035,-0.055313,6.000000,-19.123642,-2.028427,-29.278519,6.000000
70.000000,0.314453,-0.959472,0.244629,7.000000,-0.217438,-1.512527,-0.116348,7.000000,-19.123642,-0.828430,-27.928528,7.000000
80.000000,0.312988,-0.957519,0.252930,8.000000,-0.461578,-1.207352,-0.543594,8.000000,-20.023636,-0.828430,-27.928528,8.000000
90.000000,0.318359,-0.959472,0.246094,9.000000,-0.278473,-0.963211,-0.116348,9.000000,-19.873642,-1.728424,-29.878525,9.000000
100.000000,0.325195,-0.971191,0.246094,10.000000,-0.339508,-0.413895,-0.055313,10.000000,-19.873642,-2.028427,-29.278519,10.000000
110.000000,0.332519,-0.974121,0.252441,11.000000,-0.461578,-0.291824,0.001907,11.000000,-19.423645,-2.028427,-29.278519,11.000000
120.000000,0.307129,-0.970215,0.251953,12.000000,0.205994,-0.413895,-0.665665,12.000000,-19.423645,-2.028427,-27.928528,12.000000
130.000000,0.322266,-0.967285,0.250488,13.000000,-0.522614,0.497818,-0.421524,13.000000,-19.423645,-2.778427,-28.978516,13.000000
140.000000,0.324219,-0.975586,0.248047,14.000000,-0.156403,0.253677,-0.482559,14.000000,-19.873642,-2.778427,-28.978516,14.000000
150.000000,0.310059,-0.951172,0.258301,15.000000,-0.339508,-0.047684,-0.604630,15.000000,-18.973648,-1.278427,-28.978516,15.000000
160.000000,0.310059,-0.957519,0.252441,16.000000,-0.156403,-0.230789,-0.360489,16.000000,-18.973648,-1.428421,-30.478516,16.000000
170.000000,0.312012,-0.967773,0.258789,17.000000,0.205994,0.131607,0.246048,17.000000,-19.273636,-1.428421,-30.478516,17.000000
180.000000,0.324707,-0.972168,0.247559,18.000000,0.511169,-0.413895,-0.055313,18.000000,-19.873642,-2.178421,-28.678528,18.000000
190.000000,0.312012,-0.971679,0.253418,19.000000,0.267029,-0.108719,-0.055313,19.000000,-19.873642,-2.028427,-28.978516,19.000000
200.000000,0.307617,-0.970215,0.241211,20.000000,0.450134,-0.047684,0.307083,20.000000,-20.023636,-2.028427,-28.978516,20.000000
210.000000,0.314453,-0.975097,0.249512,21.000000,0.083923,-0.535965,0.185013,21.000000,-19.423645,-1.428421,-29.428528,21.000000
220.000000,0.318359,-0.979980,0.235352,22.000000,-0.034332,-0.719070,0.123978,22.000000,-19.873642,-1.578430,-29.278519,22.000000
230.000000,0.314453,-0.974609,0.240234,23.000000,0.205994,-0.047684,0.307083,23.000000,-19.873642,-1.578430,-27.478516,23.000000
240.000000,0.317871,-0.966308,0.243652,24.000000,-0.644684,-0.291824,0.795364,24.000000,-20.773636,-1.578430,-27.478516,24.000000
250.000000,0.319824,-0.948730,0.254883,25.000000,0.083923,-0.108719,1.039505,25.000000,-19.123642,-2.178421,-30.178528,25.000000
260.000000,0.324219,-0.950195,0.257324,26.000000,-0.217438,-0.169754,0.795364,26.000000,-19.123642,-3.078430,-30.028519,26.000000
270.000000,0.326172,-0.971679,0.238281,27.000000,-0.278473,-0.230789,0.429153,27.000000,-20.773636,-3.078430,-30.028519,27.000000
280.000000,0.331543,-0.974121,0.241699,28.000000,0.144958,-0.230789,1.100540,28.000000,-19.873642,-2.478424,-30.178528,28.000000
290.000000,0.327637,-0.959472,0.243164,29.000000,0.389099,-0.535965,0.612259,29.000000,-19.873642,-1.578430,-30.028519,29.000000
300.000000,0.332031,-0.972656,0.246094,30.000000,0.022888,-0.169754,0.490189,30.000000,-20.023636,-1.578430,-30.028519,30.000000
310.000000,0.320801,-0.962402,0.258301,31.000000,0.450134,-0.108719,0.123978,31.000000,-20.173645,-1.428421,-29.428528,31.000000
320.000000,0.312500,-0.979492,0.259766,32.000000,0.267029,0.497818,-0.482559,32.000000,-20.173645,-2.328430,-28.978516,32.000000
330.000000,0.311523,-0.964844,0.247070,33.000000,0.328064,0.925064,0.123978,33.000000,-20.773636,-2.328430,-28.978516,33.000000
340.000000,0.314453,-0.975586,0.250977,34.000000,0.205994,0.009537,-0.116348,34.000000,-20.773636,-1.428421,-28.678528,34.000000
350.000000,0.318848,-0.977051,0.250488,35.000000,0.450134,-0.780106,-0.055313,35.000000,-20.923645,-1.428421,-28.678528,35.000000
360.000000,0.296387,-0.972656,0.254394,36.000000,0.083923,-0.474930,-0.421524,36.000000,-19.123642,-2.778427,-27.928528,36.000000
370.000000,0.319824,-0.965820,0.249512,37.000000,-0.339508,-0.719070,-0.421524,37.000000,-19.123642,-3.528427,-28.978516,37.000000
380.000000,0.294922,-0.969726,0.251953,38.000000,-0.156403,-0.597000,0.185013,38.000000,-19.123642,-1.278427,-29.278519,38.000000
390.000000,0.314453,-0.959472,0.243164,39.000000,0.022888,-0.535965,-0.543594,39.000000,-19.873642,-1.278427,-29.278519,39.000000
400.000000,0.314941,-0.965332,0.245117,40.000000,-0.095367,-0.902176,-0.116348,40.000000,-19.423645,-1.278427,-28.528519,40.000000
