emgT,emg,rms,mnf,mdf
0.000000,0.000000,0.000000,0.000000,0.000000
210.000000,0.399844,0.000000,0.000000,0.000000
211.000000,0.151579,0.039984,0.000000,0.000000
212.000000,-0.090047,0.042761,0.000000,0.000000
213.000000,0.033017,0.043699,0.000000,0.000000
214.000000,-0.050450,0.043823,0.000000,0.000000
215.000000,-0.229896,0.044113,0.000000,0.000000
216.000000,0.048657,0.049744,0.000000,0.000000
217.000000,0.055600,0.049981,0.000000,0.000000
218.000000,-0.144141,0.050290,0.000000,0.000000
219.000000,-0.429255,0.052315,0.000000,0.000000
220.000000,-0.309167,0.067671,0.000000,0.000000
221.000000,0.002956,0.074399,0.000000,0.000000
222.000000,0.448787,0.074400,0.000000,0.000000
223.000000,0.413882,0.086888,0.000000,0.000000
224.000000,0.269608,0.096242,0.000000,0.000000
225.000000,-0.207923,0.099947,0.000000,0.000000
226.000000,-0.483883,0.102086,0.000000,0.000000
227.000000,-0.499905,0.112974,0.000000,0.000000
228.000000,-0.281014,0.123540,0.000000,0.000000
229.000000,0.118925,0.126696,0.000000,0.000000
230.000000,0.406405,0.127253,0.000000,0.000000
231.000000,0.153410,0.133585,0.000000,0.000000
232.000000,-0.088521,0.134463,0.000000,0.000000
233.000000,0.031415,0.134754,0.000000,0.000000
234.000000,-0.052129,0.134790,0.000000,0.000000
235.000000,-0.224861,0.134891,0.000000,0.000000
236.000000,0.052625,0.136753,0.000000,0.000000
237.000000,0.063077,0.136854,0.000000,0.000000
238.000000,-0.142157,0.136999,0.000000,0.000000
239.000000,-0.431621,0.137735,0.000000,0.000000
240.000000,-0.319619,0.144339,0.000000,0.000000
241.000000,0.005169,0.147836,0.000000,0.000000
242.000000,0.455577,0.147836,0.000000,0.000000
243.000000,0.420977,0.154697,0.000000,0.000000
244.000000,0.265640,0.160323,0.000000,0.000000
245.000000,-0.212348,0.162508,0.000000,0.000000
246.000000,-0.486782,0.163890,0.000000,0.000000
247.000000,-0.500515,0.170966,0.000000,0.000000
248.000000,-0.276360,0.178142,0.000000,0.000000
249.000000,0.122969,0.180273,0.000000,0.000000
250.000000,0.408389,0.180692,0.000000,0.000000
251.000000,0.151656,0.185250,0.000000,0.000000
252.000000,-0.087682,0.185869,0.000000,0.000000
253.000000,0.031415,0.186076,0.000000,0.000000
254.000000,-0.068608,0.186103,0.000000,0.000000
255.000000,-0.221275,0.186229,0.000000,0.000000
256.000000,0.066968,0.187539,0.000000,0.000000
257.000000,0.064832,0.187658,0.000000,0.000000
258.000000,-0.138495,0.187770,0.000000,0.000000
259.000000,-0.435359,0.188280,0.000000,0.000000
260.000000,-0.322900,0.193248,0.000000,0.000000
261.000000,0.008068,0.195927,0.000000,0.000000
262.000000,0.469081,0.195929,0.000000,0.000000
263.000000,0.432498,0.201466,0.000000,0.000000
264.000000,0.272202,0.206056,0.000000,0.000000
265.000000,-0.221275,0.207846,0.000000,0.000000
266.000000,-0.483120,0.209021,0.000000,0.000000
267.000000,-0.501354,0.214531,0.000000,0.000000
268.000000,-0.273461,0.220312,0.000000,0.000000
269.000000,0.126860,0.222002,0.000000,0.000000
270.000000,0.427539,0.222365,0.000000,0.000000
271.000000,0.162642,0.226437,0.000000,0.000000
272.000000,-0.083791,0.227021,0.000000,0.000000
273.000000,0.032788,0.227175,0.000000,0.000000
274.000000,-0.068685,0.227199,0.000000,0.000000
275.000000,-0.219444,0.227303,0.000000,0.000000
