t_ms,segment_id,packet_type,source_mode,frame_fid,note,walk_fid,walk_dt_ms,walk_exec_ms,walk_out,walk_state,walk_tilt_forward_deg,walk_pos_rad,walk_vel_rad_s,walk_tq_nm,walk_temp_c,walk_vbus_v,walk_pattern,walk_err_code,walk_fb_age_ms,walk_typical_stride_ms,walk_effective_step_count,walk_tilt_accel_deg,walk_acc_x,walk_acc_y,walk_acc_z,walk_gyr_x,walk_gyr_y,walk_gyr_z,cfg_fid,cfg_gait_model,cfg_gait_mode,cfg_side_is_left,cfg_assist_pct
0,1,walk,walk,0,,0.0,20.0,1.0,0.0,1.0,0.0,0.212,-0.06,0.0,27.0,22.74,0.0,0.0,0.0,0.0,0.0,-7.11,0.0,-0.01,0.0,-0.05,-0.07,0.17,0.0,1.0,1.0,0.0,50.0
0,1,walk,walk,1,,1.0,20.0,0.0,0.0,1.0,0.0,0.212,-0.06,0.0,27.0,22.74,0.0,0.0,19.0,0.0,0.0,-6.64,0.0,-0.02,0.0,-0.2,-0.24,0.65,0.0,1.0,1.0,0.0,50.0
0,1,walk,walk,2,,2.0,20.0,0.0,0.0,1.0,-0.01,0.212,0.022,0.0,27.0,22.74,0.0,0.0,14.0,0.0,0.0,-6.09,-0.01,-0.05,-0.01,-0.48,-0.51,1.54,0.0,1.0,1.0,0.0,50.0
60,1,walk,walk,3,,3.0,20.0,0.0,0.0,1.0,-0.02,0.213,0.057,0.0,27.0,22.74,0.0,0.0,14.0,0.0,0.0,-5.52,-0.01,-0.09,-0.01,-0.9,-0.77,2.86,0.0,1.0,1.0,0.0,50.0
60,1,walk,walk,4,,4.0,20.0,0.0,0.0,1.0,-0.03,0.215,0.249,0.0,27.0,22.74,0.0,0.0,14.0,0.0,0.0,-5.02,-0.01,-0.15,-0.02,-1.41,-0.86,4.57,0.0,1.0,1.0,0.0,50.0
60,1,walk,walk,5,,5.0,20.0,0.0,0.0,1.0,-0.06,0.216,0.108,0.0,27.0,22.74,0.0,0.0,14.0,0.0,0.0,-4.65,-0.02,-0.21,-0.03,-2.01,-0.7,6.61,0.0,1.0,1.0,0.0,50.0
60,1,walk,walk,6,,6.0,20.0,0.0,0.0,1.0,-0.09,0.22,0.173,0.0,27.0,22.74,0.0,0.0,14.0,0.0,0.0,-4.43,-0.02,-0.28,-0.04,-2.67,-0.26,8.89,0.0,1.0,1.0,0.0,50.0
140,1,walk,walk,7,,7.0,20.0,0.0,0.0,1.0,-0.13,0.224,0.185,0.0,27.0,22.74,0.0,0.0,14.0,0.0,0.0,-4.36,-0.03,-0.35,-0.06,-3.38,0.39,11.33,0.0,1.0,1.0,0.0,50.0
140,1,walk,walk,8,,8.0,20.0,0.0,0.0,1.0,-0.18,0.228,0.347,0.0,27.0,22.74,0.0,0.0,14.0,0.0,0.0,-4.45,-0.03,-0.42,-0.07,-4.12,1.1,13.83,0.0,1.0,1.0,0.0,50.0
140,1,walk,walk,9,,9.0,20.0,0.0,0.0,1.0,-0.25,0.235,0.43,0.0,27.0,22.74,0.0,0.0,14.0,0.0,0.0,-4.66,-0.04,-0.49,-0.08,-4.88,1.7,16.31,0.0,1.0,1.0,0.0,50.0
200,1,walk,walk,10,,10.0,20.0,0.0,0.0,1.0,-0.34,0.241,0.54,0.0,27.0,22.74,0.0,0.0,14.0,0.0,0.0,-4.96,-0.05,-0.56,-0.09,-5.6,2.05,18.69,0.0,1.0,1.0,0.0,50.0
200,1,walk,walk,11,,11.0,20.0,0.0,0.0,1.0,-0.44,0.25,0.6,0.0,27.0,22.74,0.0,0.0,14.0,0.0,0.0,-5.31,-0.06,-0.62,-0.09,-6.26,2.06,20.94,0.0,1.0,1.0,0.0,50.0
200,1,walk,walk,12,,12.0,20.0,0.0,0.0,1.0,-0.57,0.258,0.604,0.0,27.0,22.74,0.0,0.0,14.0,0.0,0.0,-5.66,-0.07,-0.68,-0.1,-6.84,1.68,23.01,0.0,1.0,1.0,0.0,50.0
200,1,walk,walk,13,,13.0,20.0,0.0,0.0,1.0,-0.72,0.268,0.869,0.0,27.0,22.74,0.0,0.0,14.0,0.0,0.0,-5.97,-0.08,-0.73,-0.11,-7.33,0.86,24.89,0.0,1.0,1.0,0.0,50.0
280,1,walk,walk,14,,14.0,20.0,0.0,0.0,1.0,-0.89,0.282,0.805,0.0,27.0,22.74,0.0,0.0,14.0,0.0,0.0,-6.2,-0.08,-0.78,-0.11,-7.7,-0.41,26.56,0.0,1.0,1.0,0.0,50.0
280,1,walk,walk,15,,15.0,20.0,0.0,0.0,1.0,-1.1,0.296,1.207,0.0,27.0,22.74,0.0,0.0,14.0,0.0,0.0,-6.32,-0.09,-0.82,-0.12,-7.91,-2.06,28.02,0.0,1.0,1.0,0.0,50.0
280,1,walk,walk,16,,16.0,20.0,0.0,0.0,1.0,-1.33,0.313,1.174,0.0,27.0,22.74,0.0,0.0,14.0,0.0,0.0,-6.28,-0.09,-0.86,-0.12,-7.94,-4.02,29.25,0.0,1.0,1.0,0.0,50.0
340,1,walk,walk,17,,17.0,20.0,0.0,0.0,1.0,-1.6,0.334,1.466,0.0,27.0,22.77,0.0,0.0,14.0,0.0,0.0,-6.06,-0.09,-0.89,-0.12,-7.73,-6.22,30.22,0.0,1.0,1.0,0.0,50.0
340,1,walk,walk,18,,18.0,20.0,0.0,0.0,1.0,-1.9,0.359,1.734,0.0,27.0,22.74,0.0,0.0,14.0,0.0,0.0,-5.64,-0.09,-0.93,-0.12,-7.27,-8.6,30.88,0.0,1.0,1.0,0.0,50.0
340,1,walk,walk,19,,19.0,20.0,0.0,0.0,1.0,-2.23,0.39,2.234,0.0,27.0,22.74,0.0,0.0,14.0,0.0,0.0,-5.04,-0.08,-0.96,-0.11,-6.52,-11.28,31.13,0.0,1.0,1.0,0.0,50.0
340,1,walk,walk,20,,20.0,20.0,0.0,0.0,1.0,-2.59,0.426,2.584,0.0,27.0,22.74,0.0,0.0,14.0,0.0,0.0,-4.25,-0.07,-0.99,-0.11,-5.47,-14.39,30.84,0.0,1.0,1.0,0.0,50.0
400,1,walk,walk,21,,21.0,20.0,0.0,0.0,1.0,-2.98,0.47,3.332,0.0,27.0,22.74,0.0,0.0,14.0,0.0,0.0,-3.27,-0.06,-1.01,-0.1,-4.18,-17.97,29.75,0.0,1.0,1.0,0.0,50.0
400,1,walk,walk,22,,22.0,20.0,1.0,0.0,1.0,-3.4,0.529,4.366,0.0,27.0,22.74,0.0,0.0,15.0,0.0,0.0,-2.14,-0.04,-1.03,-0.09,-2.8,-21.81,27.58,1.0,1.0,1.0,0.0,50.0
420,1,walk,walk,23,,23.0,20.0,1.0,0.0,1.0,-3.84,0.602,5.203,0.0,27.0,22.74,0.0,0.0,15.0,0.0,0.0,-0.93,-0.02,-1.04,-0.08,-1.53,-25.57,24.11,1.0,1.0,1.0,0.0,50.0
480,1,walk,walk,24,,24.0,20.0,1.0,0.0,1.0,-4.3,0.682,5.396,0.0,27.0,22.74,0.0,0.0,15.0,0.0,0.0,0.27,0.0,-1.05,-0.07,-0.52,-28.82,19.23,1.0,1.0,1.0,0.0,50.0
480,1,walk,walk,25,,25.0,20.0,1.0,0.0,1.0,-4.76,0.761,5.144,0.0,27.0,22.74,0.0,0.0,15.0,0.0,0.0,1.29,0.02,-1.06,-0.06,0.22,-31.18,12.93,1.0,1.0,1.0,0.0,50.0
