t_ms,segment_id,packet_type,source_mode,frame_fid,note,walk_fid,walk_dt_ms,walk_exec_ms,walk_out,walk_state,walk_tilt_forward_deg,walk_pos_rad,walk_vel_rad_s,walk_tq_nm,walk_temp_c,walk_vbus_v,walk_err_code,walk_fb_age_ms,walk_typical_stride_ms,walk_effective_step_count,walk_tilt_accel_deg,walk_acc_x,walk_acc_y,walk_acc_z,walk_gyr_x,walk_gyr_y,walk_gyr_z,cfg_fid,cfg_robot_id,cfg_ble_target,cfg_gait_model,cfg_gait_mode,cfg_side_is_left,cfg_assist_pct
241200,2,walk,walk,12917,,12917.0,20.0,0.0,0.0,1.0,5.84,0.187,0.009,0.0,33.0,25.97,0.0,0.0,0.0,0.0,4.4,-0.08,-1.02,-0.1,1.02,-0.63,-0.28,445.0,TEST2RR,AKR_TEST2RR,0.0,1.0,1.0,100.0
241200,2,walk,walk,12918,,12918.0,20.0,0.0,0.0,1.0,5.7,0.187,-0.009,0.0,33.0,26.0,0.0,0.0,0.0,0.0,4.2,-0.07,-1.01,-0.1,1.06,-0.78,0.02,445.0,TEST2RR,AKR_TEST2RR,0.0,1.0,1.0,100.0
241240,2,walk,walk,12919,,12919.0,20.0,0.0,0.0,1.0,5.57,0.187,-0.009,0.0,33.0,26.0,0.0,20.0,0.0,0.0,3.83,-0.07,-1.01,-0.1,1.08,-0.89,0.29,445.0,TEST2RR,AKR_TEST2RR,0.0,1.0,1.0,100.0
241240,2,walk,walk,12920,,12920.0,20.0,0.0,0.0,1.0,5.46,0.186,-0.026,0.0,33.0,25.97,0.0,19.0,0.0,0.0,3.29,-0.06,-1.01,-0.1,1.08,-0.94,0.52,445.0,TEST2RR,AKR_TEST2RR,0.0,1.0,1.0,100.0
241260,2,walk,walk,12921,,12921.0,20.0,0.0,0.0,1.0,5.36,0.186,-0.014,0.0,33.0,26.0,0.0,19.0,0.0,0.0,2.59,-0.05,-1.01,-0.1,1.08,-0.95,0.74,445.0,TEST2RR,AKR_TEST2RR,0.0,1.0,1.0,100.0
241280,2,walk,walk,12922,,12922.0,20.0,0.0,0.0,1.0,5.27,0.186,0.03,0.0,33.0,25.97,0.0,19.0,0.0,0.0,1.78,-0.03,-1.01,-0.1,1.09,-0.91,0.95,445.0,TEST2RR,AKR_TEST2RR,0.0,1.0,1.0,100.0
241300,2,walk,walk,12923,,12923.0,20.0,0.0,0.0,1.0,5.2,0.186,-0.054,0.0,33.0,25.97,0.0,19.0,0.0,0.0,0.89,-0.02,-1.01,-0.1,1.11,-0.83,1.16,445.0,TEST2RR,AKR_TEST2RR,0.0,1.0,1.0,100.0
241320,2,walk,walk,12924,,12924.0,20.0,0.0,0.0,1.0,5.13,0.186,-0.119,0.0,33.0,26.0,0.0,19.0,0.0,0.0,-0.02,0.0,-1.01,-0.1,1.13,-0.72,1.36,445.0,TEST2RR,AKR_TEST2RR,0.0,1.0,1.0,100.0
241360,2,walk,walk,12925,,12925.0,20.0,0.0,0.0,1.0,5.06,0.185,0.032,0.0,33.0,26.0,0.0,19.0,0.0,0.0,-0.94,0.02,-1.01,-0.1,1.15,-0.6,1.55,445.0,TEST2RR,AKR_TEST2RR,0.0,1.0,1.0,100.0
241500,2,walk,walk,12926,,12926.0,20.0,0.0,0.0,1.0,5.0,0.184,0.107,0.0,33.0,26.0,0.0,19.0,0.0,0.0,-1.82,0.03,-1.01,-0.1,1.16,-0.46,1.72,445.0,TEST2RR,AKR_TEST2RR,0.0,1.0,1.0,100.0
