t_ms,segment_id,packet_type,source_mode,frame_fid,note,walk_fid,walk_dt_ms,walk_exec_ms,walk_out,walk_state,walk_tilt_forward_deg,walk_pos_rad,walk_vel_rad_s,walk_tq_nm,walk_temp_c,walk_vbus_v,walk_err_code,walk_fb_age_ms,walk_typical_stride_ms,walk_effective_step_count,walk_tilt_accel_deg,walk_acc_x,walk_acc_y,walk_acc_z,walk_gyr_x,walk_gyr_y,walk_gyr_z,cfg_fid,cfg_robot_id,cfg_ble_target,cfg_gait_model,cfg_gait_mode,cfg_side_is_left,cfg_assist_pct
20,1,walk,walk,19234,,19234.0,20.0,2.0,6.0,2.0,3.94,0.002,0.036,-0.343,34.0,25.86,0.0,19.0,1641.0,133.0,3.39,-0.06,-1.02,0.01,0.57,0.75,1.03,557.0,,,0.0,1.0,1.0,100.0
40,1,walk,walk,19235,,19235.0,20.0,2.0,6.0,2.0,3.94,0.002,-0.026,-0.365,34.0,25.86,0.0,19.0,1641.0,133.0,3.4,-0.06,-1.02,0.01,0.6,0.76,1.01,557.0,,,0.0,1.0,1.0,100.0
60,1,walk,walk,19236,,19236.0,20.0,2.0,6.0,2.0,3.95,0.002,0.032,-0.344,34.0,25.86,0.0,19.0,1641.0,133.0,3.41,-0.06,-1.02,0.01,0.62,0.77,0.99,557.0,,,0.0,1.0,1.0,100.0
80,1,walk,walk,19237,,19237.0,20.0,2.0,6.0,2.0,3.95,0.002,-0.048,-0.299,34.0,25.86,0.0,19.0,1641.0,133.0,3.41,-0.06,-1.02,0.01,0.63,0.77,0.97,557.0,,,0.0,1.0,1.0,100.0
100,1,walk,walk,19238,,19238.0,20.0,2.0,6.0,2.0,3.95,0.002,0.097,-0.334,34.0,25.86,0.0,19.0,1641.0,133.0,3.41,-0.06,-1.02,0.01,0.61,0.77,0.95,557.0,,,0.0,1.0,1.0,100.0
140,1,walk,walk,19239,,19239.0,20.0,2.0,6.0,2.0,3.95,0.002,-0.021,-0.242,34.0,25.86,0.0,19.0,1641.0,133.0,3.42,-0.06,-1.02,0.01,0.58,0.78,0.94,557.0,,,0.0,1.0,1.0,100.0
140,1,walk,walk,19240,,19240.0,20.0,2.0,6.0,2.0,3.96,0.002,0.054,-0.337,34.0,25.86,0.0,19.0,1641.0,133.0,3.42,-0.06,-1.02,0.01,0.54,0.79,0.91,557.0,,,0.0,1.0,1.0,100.0
160,1,walk,walk,19241,,19241.0,20.0,2.0,6.0,2.0,3.96,0.002,-0.075,-0.344,34.0,25.86,0.0,19.0,1641.0,133.0,3.43,-0.06,-1.02,0.01,0.5,0.8,0.87,557.0,,,0.0,1.0,1.0,100.0
180,1,walk,walk,19242,,19242.0,20.0,2.0,6.0,2.0,3.97,0.002,-0.061,-0.285,34.0,25.86,0.0,19.0,1641.0,133.0,3.44,-0.06,-1.02,0.01,0.46,0.83,0.81,557.0,,,0.0,1.0,1.0,100.0
200,1,walk,walk,19243,,19243.0,20.0,2.0,6.0,2.0,3.98,0.002,0.04,-0.386,34.0,25.86,0.0,19.0,1641.0,133.0,3.45,-0.06,-1.02,0.01,0.43,0.87,0.72,557.0,,,0.0,1.0,1.0,100.0
220,1,walk,walk,19244,,19244.0,20.0,2.0,6.0,2.0,3.98,0.003,-0.017,-0.456,34.0,25.86,0.0,19.0,1641.0,133.0,3.46,-0.06,-1.02,0.01,0.42,0.92,0.6,557.0,,,0.0,1.0,1.0,100.0
240,1,walk,walk,19245,,19245.0,20.0,2.0,6.0,2.0,3.99,0.003,0.076,-0.484,34.0,25.86,0.0,19.0,1641.0,133.0,3.47,-0.06,-1.02,0.01,0.44,1.0,0.46,557.0,,,0.0,1.0,1.0,100.0
260,1,walk,walk,19246,,19246.0,20.0,2.0,6.0,2.0,3.99,0.004,0.023,-0.583,34.0,25.86,0.0,19.0,1641.0,133.0,3.47,-0.06,-1.02,0.01,0.48,1.09,0.29,557.0,,,0.0,1.0,1.0,100.0
280,1,walk,walk,19247,,19247.0,20.0,2.0,6.0,2.0,4.0,0.004,-0.034,-0.627,34.0,25.86,0.0,19.0,1641.0,133.0,3.47,-0.06,-1.02,0.01,0.56,1.18,0.11,557.0,,,0.0,1.0,1.0,100.0
