t_ms,segment_id,packet_type,source_mode,frame_fid,note,walk_fid,walk_dt_ms,walk_exec_ms,walk_out,walk_state,walk_tilt_forward_deg,walk_pos_rad,walk_vel_rad_s,walk_tq_nm,walk_temp_c,walk_vbus_v,walk_err_code,walk_fb_age_ms,walk_typical_stride_ms,walk_effective_step_count,walk_tilt_accel_deg,walk_acc_x,walk_acc_y,walk_acc_z,walk_gyr_x,walk_gyr_y,walk_gyr_z,cfg_fid,cfg_robot_id,cfg_ble_target,cfg_gait_model,cfg_gait_mode,cfg_side_is_left,cfg_assist_pct
20,1,walk,walk,5336,,5336.0,20.0,2.0,6.0,2.0,1.54,-0.01,0.05,1.112,33.0,28.14,0.0,19.0,0.0,4.0,2.26,0.04,-1.0,-0.05,-0.34,-0.91,0.52,161.0,,,0.0,1.0,0.0,100.0
40,1,walk,walk,5337,,5337.0,20.0,2.0,6.0,2.0,1.54,-0.01,0.058,1.126,33.0,28.14,0.0,19.0,0.0,4.0,2.24,0.04,-1.0,-0.05,-0.27,-0.89,0.59,161.0,,,0.0,1.0,0.0,100.0
60,1,walk,walk,5338,,5338.0,20.0,2.0,6.0,2.0,1.55,-0.01,-0.003,1.12,33.0,28.14,0.0,19.0,0.0,4.0,2.22,0.04,-1.0,-0.05,-0.2,-0.88,0.64,161.0,,,0.0,1.0,0.0,100.0
100,1,walk,walk,5339,,5339.0,20.0,2.0,6.0,2.0,1.56,-0.01,-0.057,1.133,33.0,28.11,0.0,19.0,0.0,4.0,2.21,0.04,-1.0,-0.05,-0.12,-0.88,0.67,161.0,,,0.0,1.0,0.0,100.0
100,1,walk,walk,5340,,5340.0,20.0,2.0,6.0,2.0,1.57,-0.01,-0.101,1.131,33.0,28.14,0.0,19.0,0.0,4.0,2.2,0.04,-1.0,-0.05,-0.06,-0.89,0.69,161.0,,,0.0,1.0,0.0,100.0
120,1,walk,walk,5341,,5341.0,20.0,2.0,6.0,2.0,1.57,-0.01,-0.014,1.142,33.0,28.14,0.0,19.0,0.0,4.0,2.19,0.04,-1.0,-0.05,0.0,-0.91,0.72,161.0,,,0.0,1.0,0.0,100.0
140,1,walk,walk,5342,,5342.0,20.0,2.0,6.0,2.0,1.58,-0.01,0.006,1.148,33.0,28.14,0.0,19.0,0.0,4.0,2.19,0.04,-1.0,-0.05,0.04,-0.94,0.74,161.0,,,0.0,1.0,0.0,100.0
160,1,walk,walk,5343,,5343.0,20.0,2.0,6.0,2.0,1.59,-0.01,0.091,1.127,33.0,28.14,0.0,19.0,0.0,4.0,2.18,0.04,-1.0,-0.05,0.07,-0.97,0.76,161.0,,,0.0,1.0,0.0,100.0
180,1,walk,walk,5344,,5344.0,20.0,2.0,6.0,2.0,1.59,-0.01,0.001,1.145,33.0,28.14,0.0,19.0,0.0,4.0,2.18,0.04,-1.0,-0.05,0.1,-1.0,0.77,161.0,,,0.0,1.0,0.0,100.0
200,1,walk,walk,5345,,5345.0,20.0,2.0,6.0,2.0,1.6,-0.01,-0.061,1.142,33.0,28.11,0.0,19.0,0.0,4.0,2.18,0.04,-1.0,-0.05,0.13,-1.02,0.77,161.0,,,0.0,1.0,0.0,100.0
240,1,walk,walk,5346,,5346.0,20.0,2.0,6.0,2.0,1.6,-0.01,0.052,1.128,33.0,28.14,0.0,19.0,0.0,4.0,2.17,0.04,-1.0,-0.05,0.16,-1.03,0.76,161.0,,,0.0,1.0,0.0,100.0
260,1,walk,walk,5347,,5347.0,20.0,2.0,6.0,2.0,1.6,-0.01,0.007,1.129,33.0,28.14,0.0,19.0,0.0,4.0,2.17,0.04,-1.0,-0.05,0.19,-1.03,0.74,161.0,,,0.0,1.0,0.0,100.0
280,1,walk,walk,5348,,5348.0,20.0,2.0,6.0,2.0,1.6,-0.01,0.085,1.139,33.0,28.11,0.0,19.0,0.0,4.0,2.17,0.04,-1.0,-0.05,0.22,-1.04,0.72,161.0,,,0.0,1.0,0.0,100.0
280,1,walk,walk,5349,,5349.0,20.0,2.0,6.0,2.0,1.6,-0.01,-0.062,1.134,33.0,28.11,0.0,19.0,0.0,4.0,2.16,0.04,-1.0,-0.05,0.26,-1.03,0.69,161.0,,,0.0,1.0,0.0,100.0
300,1,walk,walk,5350,,5350.0,20.0,2.0,6.0,2.0,1.6,-0.01,-0.07,1.111,33.0,28.14,0.0,19.0,0.0,4.0,2.15,0.04,-1.0,-0.05,0.3,-1.03,0.65,161.0,,,0.0,1.0,0.0,100.0
340,1,walk,walk,5351,,5351.0,20.0,2.0,6.0,2.0,1.6,-0.01,0.041,1.094,33.0,28.14,0.0,19.0,0.0,4.0,2.15,0.04,-1.0,-0.05,0.33,-1.01,0.6,161.0,,,0.0,1.0,0.0,100.0
340,1,walk,walk,5352,,5352.0,20.0,2.0,6.0,2.0,1.6,-0.009,0.013,1.11,33.0,28.14,0.0,19.0,0.0,4.0,2.14,0.04,-1.0,-0.05,0.36,-1.0,0.54,161.0,,,0.0,1.0,0.0,100.0
360,1,walk,walk,5353,,5353.0,20.0,2.0,6.0,2.0,1.6,-0.009,0.017,1.096,33.0,28.14,0.0,19.0,0.0,4.0,2.14,0.04,-1.0,-0.05,0.37,-0.99,0.46,161.0,,,0.0,1.0,0.0,100.0
420,1,walk,walk,5354,,5354.0,20.0,2.0,6.0,2.0,1.6,-0.009,-0.037,1.072,33.0,28.14,0.0,19.0,0.0,4.0,2.14,0.04,-1.0,-0.05,0.38,-0.98,0.39,161.0,,,0.0,1.0,0.0,100.0
420,1,walk,walk,5355,,5355.0,20.0,2.0,6.0,2.0,1.6,-0.009,-0.088,1.071,33.0,28.14,0.0,19.0,0.0,4.0,2.15,0.04,-1.0,-0.05,0.39,-0.97,0.32,161.0,,,0.0,1.0,0.0,100.0
440,1,walk,walk,5356,,5356.0,20.0,2.0,6.0,2.0,1.6,-0.009,0.095,1.074,33.0,28.14,0.0,19.0,0.0,4.0,2.15,0.04,-1.0,-0.05,0.39,-0.96,0.25,161.0,,,0.0,1.0,0.0,100.0
460,1,walk,walk,5357,,5357.0,20.0,2.0,6.0,2.0,1.6,-0.009,-0.011,1.063,33.0,28.14,0.0,19.0,0.0,4.0,2.16,0.04,-1.0,-0.05,0.39,-0.96,0.19,161.0,,,0.0,1.0,0.0,100.0
460,1,walk,walk,5358,,5358.0,20.0,2.0,6.0,2.0,1.6,-0.009,-0.096,1.07,33.0,28.14,0.0,19.0,0.0,4.0,2.18,0.04,-1.0,-0.05,0.4,-0.97,0.15,161.0,,,0.0,1.0,0.0,100.0
480,1,walk,walk,5359,,5359.0,20.0,2.0,6.0,2.0,1.6,-0.009,0.058,1.082,33.0,28.14,0.0,19.0,0.0,4.0,2.19,0.04,-1.0,-0.05,0.42,-0.97,0.13,161.0,,,0.0,1.0,0.0,100.0
500,1,walk,walk,5360,,5360.0,20.0,2.0,6.0,2.0,1.6,-0.009,-0.053,1.074,33.0,28.14,0.0,19.0,0.0,4.0,2.2,0.04,-1.0,-0.05,0.44,-0.98,0.12,161.0,,,0.0,1.0,0.0,100.0
520,1,walk,walk,5361,,5361.0,20.0,2.0,6.0,2.0,1.6,-0.009,-0.042,1.073,33.0,28.14,0.0,19.0,0.0,4.0,2.22,0.04,-1.0,-0.05,0.47,-0.98,0.12,161.0,,,0.0,1.0,0.0,100.0
580,1,walk,walk,5362,,5362.0,20.0,2.0,6.0,2.0,1.6,-0.009,0.013,1.077,33.0,28.14,0.0,19.0,0.0,4.0,2.23,0.04,-1.0,-0.05,0.51,-0.98,0.14,161.0,,,0.0,1.0,0.0,100.0
580,1,walk,walk,5363,,5363.0,20.0,2.0,6.0,2.0,1.61,-0.009,-0.018,1.051,33.0,28.14,0.0,19.0,0.0,4.0,2.24,0.04,-1.0,-0.05,0.54,-0.98,0.16,161.0,,,0.0,1.0,0.0,100.0
600,1,walk,walk,5364,,5364.0,20.0,2.0,6.0,2.0,1.61,-0.009,0.097,1.063,33.0,28.14,0.0,19.0,0.0,4.0,2.26,0.04,-1.0,-0.05,0.57,-0.98,0.18,161.0,,,0.0,1.0,0.0,100.0
600,1,walk,walk,5365,,5365.0,20.0,2.0,6.0,2.0,1.61,-0.009,0.041,1.057,33.0,28.14,0.0,19.0,0.0,4.0,2.27,0.04,-1.0,-0.05,0.58,-0.98,0.21,161.0,,,0.0,1.0,0.0,100.0
620,1,walk,walk,5366,,5366.0,20.0,2.0,6.0,2.0,1.62,-0.009,0.003,1.066,33.0,28.14,0.0,19.0,0.0,4.0,2.28,0.04,-1.0,-0.05,0.59,-0.98,0.23,161.0,,,0.0,1.0,0.0,100.0
