t_ms,segment_id,packet_type,source_mode,frame_fid,note,walk_fid,walk_dt_ms,walk_exec_ms,walk_out,walk_state,walk_tilt_forward_deg,walk_pos_rad,walk_vel_rad_s,walk_tq_nm,walk_temp_c,walk_vbus_v,walk_pattern,walk_err_code,walk_fb_age_ms,walk_typical_stride_ms,walk_effective_step_count,walk_tilt_accel_deg,walk_acc_x,walk_acc_y,walk_acc_z,walk_gyr_x,walk_gyr_y,walk_gyr_z,cfg_fid,cfg_gait_model,cfg_gait_mode,cfg_side_is_left,cfg_assist_pct
40,1,walk,walk,85557,,85557.0,20.0,1.0,6.0,2.0,6.87,0.036,0.013,-0.874,35.0,26.84,0.0,0.0,9.0,0.0,0.0,6.28,-0.11,-1.02,0.06,1.36,0.41,0.73,3458.0,0.0,1.0,1.0,100.0
60,1,walk,walk,85558,,85558.0,20.0,1.0,6.0,2.0,6.87,0.036,-0.072,-0.858,35.0,26.84,0.0,0.0,9.0,0.0,0.0,6.28,-0.11,-1.02,0.06,1.37,0.43,0.72,3458.0,0.0,1.0,1.0,100.0
80,1,walk,walk,85559,,85559.0,20.0,1.0,6.0,2.0,6.87,0.036,0.076,-0.829,35.0,26.84,0.0,0.0,9.0,0.0,0.0,6.29,-0.11,-1.02,0.06,1.37,0.45,0.72,3458.0,0.0,1.0,1.0,100.0
100,1,walk,walk,85560,,85560.0,20.0,1.0,6.0,2.0,6.87,0.036,0.072,-0.877,35.0,26.84,0.0,0.0,9.0,0.0,0.0,6.29,-0.11,-1.02,0.06,1.37,0.47,0.72,3458.0,0.0,1.0,1.0,100.0
120,1,walk,walk,85561,,85561.0,20.0,1.0,6.0,2.0,6.87,0.036,-0.029,-0.895,35.0,26.84,0.0,0.0,9.0,0.0,0.0,6.29,-0.11,-1.02,0.06,1.38,0.49,0.72,3458.0,0.0,1.0,1.0,100.0
140,1,walk,walk,85562,,85562.0,20.0,1.0,6.0,2.0,6.87,0.036,-0.03,-0.856,35.0,26.84,0.0,0.0,9.0,0.0,0.0,6.29,-0.11,-1.02,0.06,1.38,0.51,0.73,3458.0,0.0,1.0,1.0,100.0
160,1,walk,walk,85563,,85563.0,20.0,1.0,6.0,2.0,6.87,0.036,-0.073,-0.877,35.0,26.84,0.0,0.0,9.0,0.0,0.0,6.29,-0.11,-1.02,0.06,1.39,0.53,0.74,3458.0,0.0,1.0,1.0,100.0
180,1,walk,walk,85564,,85564.0,20.0,1.0,6.0,2.0,6.87,0.036,-0.014,-0.929,35.0,26.84,0.0,0.0,9.0,0.0,0.0,6.29,-0.11,-1.02,0.06,1.39,0.56,0.75,3458.0,0.0,1.0,1.0,100.0
200,1,walk,walk,85565,,85565.0,20.0,1.0,6.0,2.0,6.88,0.036,-0.075,-0.819,35.0,26.84,0.0,0.0,9.0,0.0,0.0,6.3,-0.11,-1.02,0.06,1.39,0.57,0.77,3458.0,0.0,1.0,1.0,100.0
220,1,walk,walk,85566,,85566.0,20.0,1.0,6.0,2.0,6.88,0.036,0.073,-0.925,35.0,26.84,0.0,0.0,9.0,0.0,0.0,6.3,-0.11,-1.02,0.06,1.4,0.58,0.79,3458.0,0.0,1.0,1.0,100.0
240,1,walk,walk,85567,,85567.0,20.0,1.0,6.0,2.0,6.88,0.036,-0.006,-0.859,35.0,26.88,0.0,0.0,9.0,0.0,0.0,6.31,-0.11,-1.02,0.06,1.4,0.59,0.81,3458.0,0.0,1.0,1.0,100.0
260,1,walk,walk,85568,,85568.0,20.0,1.0,6.0,2.0,6.88,0.036,-0.002,-0.926,35.0,26.84,0.0,0.0,9.0,0.0,0.0,6.31,-0.11,-1.02,0.06,1.4,0.59,0.83,3458.0,0.0,1.0,1.0,100.0
280,1,walk,walk,85569,,85569.0,20.0,1.0,6.0,2.0,6.89,0.036,0.06,-0.906,35.0,26.84,0.0,0.0,9.0,0.0,0.0,6.32,-0.11,-1.02,0.06,1.41,0.58,0.85,3458.0,0.0,1.0,1.0,100.0
