cycle_index,start_row,end_row,start_ms,end_ms,state_path,segment_type,step_type,step_code,walk_out_values,walk_out_pattern,cycle_ms,stance_ms,swing_ms,swing_phase_ms,confirmation_wrap_ms,stance_percent,swing_percent,has_full_phase_timing,cluster_size,cluster_stance_median_ms,cluster_swing_median_ms,cluster_stance_percent_median,quality_status,accepted,user_decision,reason
1,1,812,,,,full_cycle,standard,,,,,,,,,,,False,,,,,rejected,False,auto,incomplete prefix before first state 1
2,813,1677,16280.0,33600.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,17320.0,17200.0,120.0,60.0,60.0,99.30715935334872,0.6928406466512702,True,5,2880.000000000001,780.0000000000001,80.89887640449439,review,False,auto,timing review required: log_stance_ms robust z=5.0; log_swing_ms robust z=-25.2; stance_percent robust z=4.6
3,1678,1955,33600.0,39120.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,5520.0,4720.0,800.0,260.0,540.0,85.5072463768116,14.492753623188406,True,5,2880.000000000001,780.0000000000001,80.89887640449439,accepted,True,auto,matches patient timing cluster (5 cycles)
4,1956,2133,39120.0,42680.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,3560.0,2880.0,680.0,260.0,420.0,80.89887640449439,19.10112359550562,True,5,2880.000000000001,780.0000000000001,80.89887640449439,accepted,True,auto,matches patient timing cluster (5 cycles)
5,2134,2395,42680.0,47920.0,1→2→5,transition_5_to_0,standard,T50,"0,1,6",0→6→1,5240.0,,,,,,,False,,,,,review,False,auto,duration-only transition requires review
6,2396,2622,47920.0,52460.0,0→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,4540.0,3520.0,1020.0,400.0,620.0,77.5330396475771,22.46696035242291,True,,,,,review,False,auto,full cycle immediately follows T50 transition and requires review
7,2623,2807,52460.0,56180.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,3720.0,3440.0,280.0,80.0,200.0,92.47311827956989,7.526881720430108,True,5,2880.000000000001,780.0000000000001,80.89887640449439,review,False,auto,timing review required: log_swing_ms robust z=-13.8
8,2808,2907,56180.0,58180.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,2000.0,1920.0,80.0,20.0,60.0,96.0,4.0,True,5,2880.000000000001,780.0000000000001,80.89887640449439,review,False,auto,timing review required: log_swing_ms robust z=-30.7; stance_percent robust z=3.8
9,2908,3029,58180.0,60600.0,1→2→5,transition_5_to_0,standard,T50,"0,1,6",0→6→1,2420.0,,,,,,,False,,,,,review,False,auto,duration-only transition requires review
10,3030,3090,60600.0,61820.0,0→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,1220.0,540.0,680.0,200.0,480.0,44.26229508196721,55.73770491803279,True,,,,,review,False,auto,full cycle immediately follows T50 transition and requires review
11,3091,3327,61820.0,66580.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,4760.0,3980.0,780.0,220.0,560.0,83.61344537815125,16.386554621848738,True,5,2880.000000000001,780.0000000000001,80.89887640449439,accepted,True,auto,matches patient timing cluster (5 cycles)
12,3328,3411,66580.0,68240.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,1660.0,1620.0,40.0,20.0,20.0,97.59036144578313,2.4096385542168677,True,5,2880.000000000001,780.0000000000001,80.89887640449439,review,False,auto,timing review required: log_swing_ms robust z=-40.1; stance_percent robust z=4.1
13,3412,3615,68240.0,72320.0,1→2→5,transition_5_to_0,standard,T50,"0,1,6",0→6→1,4080.0,,,,,,,False,,,,,review,False,auto,duration-only transition requires review
14,3616,3686,72320.0,73760.0,0→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,1440.0,1340.0,100.0,40.0,60.0,93.05555555555556,6.944444444444445,True,,,,,review,False,auto,full cycle immediately follows T50 transition and requires review
15,3687,3878,73760.0,77600.0,1→2→5,transition_5_to_0,standard,T50,"0,1,6",0→6→1,3840.0,,,,,,,False,,,,,review,False,auto,duration-only transition requires review
16,3879,3995,77600.0,79920.0,0→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,2320.0,1840.0,480.0,220.0,260.0,79.3103448275862,20.689655172413794,True,,,,,review,False,auto,full cycle immediately follows T50 transition and requires review
17,3996,4133,79920.0,82700.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,2780.0,1780.0,1000.0,220.0,780.0,64.02877697841727,35.97122302158273,True,5,2880.000000000001,780.0000000000001,80.89887640449439,review,False,auto,timing review required: stance_percent robust z=-4.2
18,4134,4277,82700.0,85560.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,2860.0,2080.0,780.0,220.0,560.0,72.72727272727273,27.272727272727273,True,5,2880.000000000001,780.0000000000001,80.89887640449439,accepted,True,auto,matches patient timing cluster (5 cycles)
19,4278,4398,85560.0,88000.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,2440.0,2120.0,320.0,140.0,180.0,86.88524590163935,13.114754098360656,True,5,2880.000000000001,780.0000000000001,80.89887640449439,review,False,auto,timing review required: log_swing_ms robust z=-12.0
20,4399,4466,88000.0,89360.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,1360.0,1280.0,80.0,20.0,60.0,94.11764705882354,5.882352941176471,True,5,2880.000000000001,780.0000000000001,80.89887640449439,review,False,auto,timing review required: log_swing_ms robust z=-30.7
21,4467,4970,89360.0,99420.0,1→2→5,transition_5_to_0,standard,T50,"0,1,6",0→6→1,10060.0,,,,,,,False,,,,,review,False,auto,duration-only transition requires review
22,4971,4980,99420.0,,0,full_cycle,standard,,0,0,,,,,,,,False,,,,,rejected,False,auto,incomplete cycle ended with state 1 after [0]
23,4981,5093,99620.0,101900.0,1→2→5,transition_5_to_0,standard,T50,"0,1,6",0→6→1,2280.0,,,,,,,False,,,,,review,False,auto,duration-only transition requires review
24,5094,5179,101900.0,103600.0,0→2→5,transition_5_to_0,standard,T50,"0,1,6",0→6→1,1700.0,,,,,,,False,,,,,review,False,auto,duration-only transition requires review
25,5180,5286,103600.0,105760.0,0→2→5,transition_5_to_0,standard,T50,"0,1,6",0→6→1,2160.0,,,,,,,False,,,,,review,False,auto,duration-only transition requires review
26,5287,5306,105760.0,,0,full_cycle,standard,,0,0,,,,,,,,False,,,,,rejected,False,auto,incomplete cycle ended with state 1 after [0]
27,5307,5475,106140.0,109520.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,3380.0,2560.0,820.0,280.0,540.0,75.7396449704142,24.2603550295858,True,5,2880.000000000001,780.0000000000001,80.89887640449439,accepted,True,auto,matches patient timing cluster (5 cycles)
28,5476,5557,109520.0,111160.0,1→2→5,transition_5_to_0,standard,T50,"0,1,6",0→6→1,1640.0,,,,,,,False,,,,,review,False,auto,duration-only transition requires review
29,5558,5577,111160.0,,0,full_cycle,standard,,0,0,,,,,,,,False,,,,,rejected,False,auto,incomplete cycle ended with state 1 after [0]
30,5578,5698,111560.0,113980.0,1→2→5,transition_5_to_0,standard,T50,"0,1,6",0→6→1,2420.0,,,,,,,False,,,,,review,False,auto,duration-only transition requires review
31,5699,5785,113980.0,115720.0,0→2→5,transition_5_to_0,standard,T50,"0,1,6",0→6→1,1740.0,,,,,,,False,,,,,review,False,auto,duration-only transition requires review
32,5786,5877,115720.0,117560.0,0→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,1840.0,1620.0,220.0,80.0,140.0,88.04347826086956,11.956521739130435,True,,,,,review,False,auto,full cycle immediately follows T50 transition and requires review
33,5878,5997,117560.0,119980.0,1→2→5,transition_5_to_0,standard,T50,"0,1,6",0→6→1,2420.0,,,,,,,False,,,,,review,False,auto,duration-only transition requires review
34,5998,6133,119980.0,122720.0,0→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,2740.0,2000.0,740.0,260.0,480.0,72.99270072992701,27.00729927007299,True,,,,,review,False,auto,full cycle immediately follows T50 transition and requires review
35,6134,6354,122720.0,127100.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,4380.0,3660.0,720.0,340.0,380.0,83.56164383561644,16.438356164383563,True,5,2880.000000000001,780.0000000000001,80.89887640449439,accepted,True,auto,matches patient timing cluster (5 cycles)
36,6355,6458,127100.0,129180.0,1→2→5,transition_5_to_0,standard,T50,"0,1,6",0→6→1,2080.0,,,,,,,False,,,,,review,False,auto,duration-only transition requires review
