cycle_index,start_row,end_row,start_ms,end_ms,state_path,segment_type,step_type,step_code,walk_out_values,walk_out_pattern,cycle_ms,stance_ms,swing_ms,swing_phase_ms,confirmation_wrap_ms,stance_percent,swing_percent,has_full_phase_timing,cluster_size,cluster_stance_median_ms,cluster_swing_median_ms,cluster_stance_percent_median,quality_status,accepted,user_decision,reason
1,1,64,,,,full_cycle,standard,,,,,,,,,,,False,,,,,rejected,False,auto,incomplete prefix before first state 1
2,65,145,1300.0,2920.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,1620.0,1360.0,260.0,120.0,140.0,83.95061728395062,16.049382716049383,True,41,920.0000000000003,340.0000000000001,73.33333333333333,review,False,auto,timing review required: log_stance_ms robust z=3.9
3,146,225,2920.0,4520.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,1600.0,1260.0,340.0,200.0,140.0,78.75,21.25,True,41,920.0000000000003,340.0000000000001,73.33333333333333,accepted,True,auto,matches patient timing cluster (41 cycles)
4,226,286,4520.0,5740.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,1220.0,920.0,300.0,140.0,160.0,75.40983606557377,24.59016393442623,True,41,920.0000000000003,340.0000000000001,73.33333333333333,accepted,True,auto,matches patient timing cluster (41 cycles)
5,287,346,5740.0,6940.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,1200.0,880.0,320.0,160.0,160.0,73.33333333333333,26.666666666666668,True,41,920.0000000000003,340.0000000000001,73.33333333333333,accepted,True,auto,matches patient timing cluster (41 cycles)
6,347,406,6940.0,8140.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,1200.0,800.0,400.0,160.0,240.0,66.66666666666667,33.333333333333336,True,41,920.0000000000003,340.0000000000001,73.33333333333333,accepted,True,auto,matches patient timing cluster (41 cycles)
7,407,470,8140.0,9420.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,1280.0,920.0,360.0,180.0,180.0,71.875,28.125,True,41,920.0000000000003,340.0000000000001,73.33333333333333,accepted,True,auto,matches patient timing cluster (41 cycles)
8,471,530,9420.0,10620.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,1200.0,920.0,280.0,120.0,160.0,76.66666666666667,23.333333333333332,True,41,920.0000000000003,340.0000000000001,73.33333333333333,accepted,True,auto,matches patient timing cluster (41 cycles)
9,531,591,10620.0,11840.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,1220.0,940.0,280.0,120.0,160.0,77.04918032786885,22.950819672131146,True,41,920.0000000000003,340.0000000000001,73.33333333333333,accepted,True,auto,matches patient timing cluster (41 cycles)
10,592,648,11840.0,12980.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,1140.0,840.0,300.0,160.0,140.0,73.6842105263158,26.31578947368421,True,41,920.0000000000003,340.0000000000001,73.33333333333333,accepted,True,auto,matches patient timing cluster (41 cycles)
11,649,703,12980.0,14100.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,1120.0,800.0,320.0,160.0,160.0,71.42857142857143,28.571428571428573,True,41,920.0000000000003,340.0000000000001,73.33333333333333,accepted,True,auto,matches patient timing cluster (41 cycles)
12,704,764,14100.0,15300.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,1200.0,880.0,320.0,160.0,160.0,73.33333333333333,26.666666666666668,True,41,920.0000000000003,340.0000000000001,73.33333333333333,accepted,True,auto,matches patient timing cluster (41 cycles)
13,765,865,15300.0,17340.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,2040.0,1180.0,860.0,320.0,540.0,57.84313725490196,42.15686274509804,True,41,920.0000000000003,340.0000000000001,73.33333333333333,review,False,auto,timing review required: log_swing_ms robust z=10.3; stance_percent robust z=-4.0
14,866,1037,17340.0,20760.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,3420.0,3160.0,260.0,20.0,240.0,92.39766081871345,7.60233918128655,True,41,920.0000000000003,340.0000000000001,73.33333333333333,review,False,auto,timing review required: log_stance_ms robust z=12.3; stance_percent robust z=4.9
15,1038,1153,20760.0,23080.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,2320.0,1940.0,380.0,160.0,220.0,83.62068965517241,16.379310344827587,True,41,920.0000000000003,340.0000000000001,73.33333333333333,review,False,auto,timing review required: log_stance_ms robust z=7.5
16,1154,1218,23080.0,24380.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,1300.0,900.0,400.0,160.0,240.0,69.23076923076923,30.76923076923077,True,41,920.0000000000003,340.0000000000001,73.33333333333333,accepted,True,auto,matches patient timing cluster (41 cycles)
17,1219,1338,24380.0,26780.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,2400.0,2040.0,360.0,180.0,180.0,85.0,15.0,True,41,920.0000000000003,340.0000000000001,73.33333333333333,review,False,auto,timing review required: log_stance_ms robust z=8.0
18,1339,1403,26780.0,28080.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,1300.0,940.0,360.0,160.0,200.0,72.3076923076923,27.692307692307693,True,41,920.0000000000003,340.0000000000001,73.33333333333333,accepted,True,auto,matches patient timing cluster (41 cycles)
19,1404,1522,28080.0,30460.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,2380.0,1960.0,420.0,140.0,280.0,82.3529411764706,17.647058823529413,True,41,920.0000000000003,340.0000000000001,73.33333333333333,review,False,auto,timing review required: log_stance_ms robust z=7.6
20,1523,2112,30460.0,42280.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,11820.0,11600.0,220.0,100.0,120.0,98.13874788494078,1.8612521150592216,True,41,920.0000000000003,340.0000000000001,73.33333333333333,review,False,auto,timing review required: log_stance_ms robust z=25.3; log_swing_ms robust z=-4.8; stance_percent robust z=6.3
21,2113,2195,42280.0,43920.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,1640.0,1360.0,280.0,140.0,140.0,82.92682926829268,17.073170731707318,True,41,920.0000000000003,340.0000000000001,73.33333333333333,review,False,auto,timing review required: log_stance_ms robust z=3.9
22,2196,2304,43920.0,46120.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,2200.0,1200.0,1000.0,180.0,820.0,54.54545454545455,45.45454545454545,True,41,920.0000000000003,340.0000000000001,73.33333333333333,review,False,auto,timing review required: log_swing_ms robust z=12.0; stance_percent robust z=-4.8
23,2305,2538,46120.0,50780.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,4660.0,4400.0,260.0,120.0,140.0,94.4206008583691,5.579399141630901,True,41,920.0000000000003,340.0000000000001,73.33333333333333,review,False,auto,timing review required: log_stance_ms robust z=15.7; stance_percent robust z=5.4
24,2539,2663,50780.0,53280.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,2500.0,2120.0,380.0,160.0,220.0,84.8,15.2,True,41,920.0000000000003,340.0000000000001,73.33333333333333,review,False,auto,timing review required: log_stance_ms robust z=8.3
25,2664,2777,53280.0,55580.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,2300.0,1980.0,320.0,160.0,160.0,86.08695652173913,13.91304347826087,True,41,920.0000000000003,340.0000000000001,73.33333333333333,review,False,auto,timing review required: log_stance_ms robust z=7.7
26,2778,2835,55580.0,56720.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,1140.0,800.0,340.0,140.0,200.0,70.17543859649123,29.82456140350877,True,41,920.0000000000003,340.0000000000001,73.33333333333333,accepted,True,auto,matches patient timing cluster (41 cycles)
27,2836,2894,56720.0,57900.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,1180.0,820.0,360.0,180.0,180.0,69.49152542372882,30.508474576271187,True,41,920.0000000000003,340.0000000000001,73.33333333333333,accepted,True,auto,matches patient timing cluster (41 cycles)
28,2895,2955,57900.0,59140.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,1240.0,860.0,380.0,180.0,200.0,69.35483870967742,30.64516129032258,True,41,920.0000000000003,340.0000000000001,73.33333333333333,accepted,True,auto,matches patient timing cluster (41 cycles)
29,2956,3013,59140.0,60280.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,1140.0,800.0,340.0,180.0,160.0,70.17543859649123,29.82456140350877,True,41,920.0000000000003,340.0000000000001,73.33333333333333,accepted,True,auto,matches patient timing cluster (41 cycles)
30,3014,3071,60280.0,61440.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,1160.0,820.0,340.0,180.0,160.0,70.6896551724138,29.310344827586206,True,41,920.0000000000003,340.0000000000001,73.33333333333333,accepted,True,auto,matches patient timing cluster (41 cycles)
