cycle_index,start_row,end_row,start_ms,end_ms,state_path,segment_type,step_type,step_code,walk_out_values,walk_out_pattern,cycle_ms,stance_ms,swing_ms,swing_phase_ms,confirmation_wrap_ms,stance_percent,swing_percent,has_full_phase_timing,cluster_size,cluster_stance_median_ms,cluster_swing_median_ms,cluster_stance_percent_median,quality_status,accepted,user_decision,reason
1,1,683,87820.0,102160.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,14340.0,13520.0,820.0,100.0,720.0,94.28172942817294,5.718270571827057,True,,,,,review,False,auto,timing cluster unavailable: largest cluster has 4 of required 5 cycles
2,719,846,102160.0,104980.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,2820.0,2220.0,600.0,340.0,260.0,78.72340425531915,21.27659574468085,True,,,,,review,False,auto,timing cluster unavailable: largest cluster has 4 of required 5 cycles
3,860,924,104980.0,106520.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,1540.0,1020.0,520.0,240.0,280.0,66.23376623376623,33.76623376623377,True,,,,,accepted,True,forced_accept,accepted by user
4,937,1005,106520.0,108540.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,2020.0,1120.0,900.0,220.0,680.0,55.445544554455445,44.554455445544555,True,,,,,accepted,True,forced_accept,accepted by user
5,1037,1157,108540.0,111560.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,3020.0,2140.0,880.0,240.0,640.0,70.86092715231788,29.13907284768212,True,,,,,review,False,auto,timing cluster unavailable: largest cluster has 4 of required 5 cycles
6,1189,1295,111560.0,114120.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,2560.0,2000.0,560.0,120.0,440.0,78.125,21.875,True,,,,,review,False,auto,timing cluster unavailable: largest cluster has 4 of required 5 cycles
7,1316,1491,114120.0,118220.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,4100.0,3160.0,940.0,300.0,640.0,77.07317073170732,22.926829268292682,True,,,,,review,False,auto,timing cluster unavailable: largest cluster has 4 of required 5 cycles
8,1522,1659,118220.0,121520.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,3300.0,2400.0,900.0,340.0,560.0,72.72727272727273,27.272727272727273,True,,,,,review,False,auto,timing cluster unavailable: largest cluster has 4 of required 5 cycles
9,1686,1822,121520.0,124840.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,3320.0,2360.0,960.0,360.0,600.0,71.08433734939759,28.91566265060241,True,,,,,review,False,auto,timing cluster unavailable: largest cluster has 4 of required 5 cycles
10,1851,2024,124840.0,128320.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,3480.0,3380.0,100.0,40.0,60.0,97.1264367816092,2.8735632183908044,True,,,,,review,False,auto,timing cluster unavailable: largest cluster has 4 of required 5 cycles
11,2027,2454,128320.0,,1→2,full_cycle,standard,,"0,6",0→6,,,,,,,,False,,,,,rejected,False,auto,"incomplete suffix after [1, 2]"
