cycle_index,start_row,end_row,start_ms,end_ms,state_path,segment_type,step_type,step_code,walk_out_values,walk_out_pattern,cycle_ms,stance_ms,swing_ms,swing_phase_ms,confirmation_wrap_ms,stance_percent,swing_percent,has_full_phase_timing,cluster_size,cluster_stance_median_ms,cluster_swing_median_ms,cluster_stance_percent_median,quality_status,accepted,user_decision,reason
1,26,468,,,,full_cycle,standard,,,,,,,,,,,False,,,,,rejected,False,forced_reject,rejected by user
2,469,643,117380.0,120860.0,1→2→5→6→7,full_cycle,walk_out_0_6_0,W060,"0,6",0→6→0,3480.0,2800.0,680.0,560.0,120.0,80.45977011494253,19.54022988505747,True,28,1229.9593489217443,580.0,67.7995391705069,review,False,auto,timing review required: log_stance_ms robust z=17.2; stance_percent robust z=9.6
3,644,720,120860.0,122420.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,1560.0,1440.0,120.0,20.0,100.0,92.3076923076923,7.6923076923076925,True,28,1229.9593489217443,580.0,67.7995391705069,review,False,auto,timing review required: log_swing_ms robust z=-31.3; stance_percent robust z=18.7
4,721,1028,122420.0,,1→2,full_cycle,standard,,"0,6",0→6,,,,,,,,False,,,,,rejected,False,forced_reject,rejected by user
5,1034,1205,,,,full_cycle,standard,,,,,,,,,,,False,,,,,rejected,False,forced_reject,rejected by user
6,1206,1294,132160.0,133940.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,1780.0,1220.0,560.0,240.0,320.0,68.53932584269663,31.46067415730337,True,28,1229.9593489217443,580.0,67.7995391705069,accepted,True,auto,matches patient timing cluster (28 cycles)
7,1295,1378,133940.0,135600.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,1660.0,1120.0,540.0,240.0,300.0,67.46987951807229,32.53012048192771,True,28,1229.9593489217443,580.0,67.7995391705069,accepted,True,auto,matches patient timing cluster (28 cycles)
8,1379,1462,135600.0,137280.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,1680.0,1140.0,540.0,240.0,300.0,67.85714285714286,32.142857142857146,True,28,1229.9593489217443,580.0,67.7995391705069,accepted,True,auto,matches patient timing cluster (28 cycles)
9,1463,1548,137280.0,139020.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,1740.0,1160.0,580.0,260.0,320.0,66.66666666666667,33.333333333333336,True,28,1229.9593489217443,580.0,67.7995391705069,accepted,True,auto,matches patient timing cluster (28 cycles)
10,1549,1633,139020.0,140700.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,1680.0,1100.0,580.0,240.0,340.0,65.47619047619048,34.523809523809526,True,28,1229.9593489217443,580.0,67.7995391705069,accepted,True,auto,matches patient timing cluster (28 cycles)
11,1634,1813,140700.0,144300.0,1→2→5→6→7,full_cycle,walk_out_0_6_0,W060,"0,6",0→6→0,3600.0,3080.0,520.0,260.0,260.0,85.55555555555556,14.444444444444445,True,28,1229.9593489217443,580.0,67.7995391705069,review,False,auto,timing review required: log_stance_ms robust z=19.2; stance_percent robust z=13.5
12,1814,1901,144300.0,146080.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,1780.0,1200.0,580.0,280.0,300.0,67.41573033707866,32.58426966292135,True,28,1229.9593489217443,580.0,67.7995391705069,accepted,True,auto,matches patient timing cluster (28 cycles)
13,1902,1992,146080.0,147880.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,1800.0,1240.0,560.0,260.0,300.0,68.88888888888889,31.11111111111111,True,28,1229.9593489217443,580.0,67.7995391705069,accepted,True,auto,matches patient timing cluster (28 cycles)
14,1993,2084,147880.0,149720.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,1840.0,1240.0,600.0,280.0,320.0,67.3913043478261,32.608695652173914,True,28,1229.9593489217443,580.0,67.7995391705069,accepted,True,auto,matches patient timing cluster (28 cycles)
15,2085,2177,149720.0,151580.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,1860.0,1260.0,600.0,260.0,340.0,67.74193548387096,32.25806451612903,True,28,1229.9593489217443,580.0,67.7995391705069,accepted,True,auto,matches patient timing cluster (28 cycles)
