t_ms,segment_id,packet_type,source_mode,frame_fid,note,walk_fid,walk_dt_ms,walk_exec_ms,walk_out,walk_state,walk_tilt_forward_deg,walk_pos_rad,walk_vel_rad_s,walk_tq_nm,walk_temp_c,walk_vbus_v,walk_pattern,walk_err_code,walk_fb_age_ms,walk_typical_stride_ms,walk_effective_step_count,walk_tilt_accel_deg,walk_acc_x,walk_acc_y,walk_acc_z,walk_gyr_x,walk_gyr_y,walk_gyr_z,cfg_fid,cfg_gait_model,cfg_gait_mode,cfg_side_is_left,cfg_assist_pct
0,1,walk,walk,6788,,6788.0,20.0,0.0,0.0,1.0,-13.36,-0.369,-0.025,0.0,28.0,26.49,0.0,0.0,9.0,0.0,0.0,-12.24,-0.21,-0.98,0.08,-1.53,0.15,1.01,311.0,1.0,1.0,0.0,50.0
60,1,walk,walk,6789,,6789.0,20.0,0.0,0.0,1.0,-13.36,-0.368,0.048,0.0,28.0,26.49,0.0,0.0,9.0,0.0,0.0,-12.24,-0.21,-0.98,0.08,-1.53,0.15,1.0,311.0,1.0,1.0,0.0,50.0
60,1,walk,walk,6790,,6790.0,20.0,0.0,0.0,1.0,-13.36,-0.369,-0.026,0.0,28.0,26.49,0.0,0.0,9.0,0.0,0.0,-12.24,-0.21,-0.98,0.08,-1.52,0.15,1.0,311.0,1.0,1.0,0.0,50.0
100,1,walk,walk,6791,,6791.0,20.0,0.0,0.0,1.0,-13.35,-0.369,-0.026,0.0,28.0,26.49,0.0,0.0,9.0,0.0,0.0,-12.24,-0.21,-0.98,0.08,-1.52,0.16,1.0,311.0,1.0,1.0,0.0,50.0
100,1,walk,walk,6792,,6792.0,20.0,0.0,0.0,1.0,-13.35,-0.369,-0.046,0.0,28.0,26.49,0.0,0.0,9.0,0.0,0.0,-12.24,-0.21,-0.98,0.08,-1.52,0.18,0.99,311.0,1.0,1.0,0.0,50.0
100,1,walk,walk,6793,,6793.0,20.0,0.0,0.0,1.0,-13.35,-0.369,0.029,0.0,28.0,26.49,0.0,0.0,9.0,0.0,0.0,-12.24,-0.21,-0.98,0.08,-1.52,0.19,0.99,311.0,1.0,1.0,0.0,50.0
160,1,walk,walk,6794,,6794.0,20.0,0.0,0.0,1.0,-13.35,-0.369,0.034,0.0,28.0,26.49,0.0,0.0,9.0,0.0,0.0,-12.25,-0.21,-0.98,0.08,-1.52,0.19,0.99,311.0,1.0,1.0,0.0,50.0
160,1,walk,walk,6795,,6795.0,20.0,0.0,0.0,1.0,-13.34,-0.368,0.015,0.0,28.0,26.49,0.0,0.0,9.0,0.0,0.0,-12.25,-0.21,-0.98,0.08,-1.52,0.18,0.99,311.0,1.0,1.0,0.0,50.0
200,1,walk,walk,6796,,6796.0,20.0,0.0,0.0,1.0,-13.34,-0.369,-0.058,0.0,28.0,26.49,0.0,0.0,9.0,0.0,0.0,-12.25,-0.21,-0.98,0.08,-1.52,0.18,0.99,311.0,1.0,1.0,0.0,50.0
200,1,walk,walk,6797,,6797.0,20.0,0.0,0.0,1.0,-13.34,-0.369,0.018,0.0,28.0,26.49,0.0,0.0,9.0,0.0,0.0,-12.25,-0.21,-0.98,0.08,-1.52,0.16,0.99,311.0,1.0,1.0,0.0,50.0
200,1,walk,walk,6798,,6798.0,20.0,0.0,0.0,1.0,-13.34,-0.369,0.057,0.0,28.0,26.49,0.0,0.0,9.0,0.0,0.0,-12.25,-0.21,-0.98,0.08,-1.51,0.13,0.99,311.0,1.0,1.0,0.0,50.0
260,1,walk,walk,6799,,6799.0,20.0,0.0,0.0,1.0,-13.33,-0.369,-0.009,0.0,28.0,26.49,0.0,0.0,9.0,0.0,0.0,-12.25,-0.21,-0.98,0.08,-1.51,0.1,0.99,311.0,1.0,1.0,0.0,50.0
260,1,walk,walk,6800,,6800.0,20.0,0.0,0.0,1.0,-13.33,-0.369,-0.091,0.0,28.0,26.49,0.0,0.0,9.0,0.0,0.0,-12.25,-0.21,-0.98,0.08,-1.51,0.07,0.99,311.0,1.0,1.0,0.0,50.0
260,1,walk,walk,6801,,6801.0,20.0,0.0,0.0,1.0,-13.33,-0.369,0.029,0.0,28.0,26.49,0.0,0.0,9.0,0.0,0.0,-12.24,-0.21,-0.98,0.08,-1.51,0.03,0.99,311.0,1.0,1.0,0.0,50.0
300,1,walk,walk,6802,,6802.0,20.0,0.0,0.0,1.0,-13.33,-0.369,-0.046,0.0,28.0,26.49,0.0,0.0,9.0,0.0,0.0,-12.23,-0.21,-0.98,0.08,-1.52,0.0,0.99,311.0,1.0,1.0,0.0,50.0
300,1,walk,walk,6803,,6803.0,20.0,0.0,0.0,1.0,-13.33,-0.369,0.049,0.0,28.0,26.49,0.0,0.0,9.0,0.0,0.0,-12.22,-0.21,-0.98,0.08,-1.53,-0.02,0.99,311.0,1.0,1.0,0.0,50.0
360,1,walk,walk,6804,,6804.0,20.0,0.0,0.0,1.0,-13.32,-0.369,-0.056,0.0,28.0,26.49,0.0,0.0,9.0,0.0,0.0,-12.2,-0.21,-0.98,0.08,-1.54,-0.03,0.99,311.0,1.0,1.0,0.0,50.0
360,1,walk,walk,6805,,6805.0,20.0,0.0,0.0,1.0,-13.32,-0.369,-0.034,0.0,28.0,26.49,0.0,0.0,9.0,0.0,0.0,-12.2,-0.21,-0.98,0.08,-1.55,-0.04,1.0,311.0,1.0,1.0,0.0,50.0
360,1,walk,walk,6806,,6806.0,20.0,0.0,0.0,1.0,-13.32,-0.369,-0.025,0.0,28.0,26.46,0.0,0.0,9.0,0.0,0.0,-12.19,-0.21,-0.98,0.08,-1.56,-0.05,1.0,311.0,1.0,1.0,0.0,50.0
420,1,walk,walk,6807,,6807.0,20.0,0.0,0.0,1.0,-13.32,-0.369,-0.018,0.0,28.0,26.49,0.0,0.0,9.0,0.0,0.0,-12.19,-0.21,-0.98,0.08,-1.58,-0.06,1.01,311.0,1.0,1.0,0.0,50.0
420,1,walk,walk,6808,,6808.0,20.0,0.0,0.0,1.0,-13.31,-0.369,0.026,0.0,28.0,26.49,0.0,0.0,9.0,0.0,0.0,-12.19,-0.21,-0.98,0.08,-1.58,-0.07,1.02,311.0,1.0,1.0,0.0,50.0
460,1,walk,walk,6809,,6809.0,20.0,0.0,0.0,1.0,-13.31,-0.369,0.029,0.0,28.0,26.49,0.0,0.0,9.0,0.0,0.0,-12.19,-0.21,-0.98,0.08,-1.59,-0.09,1.03,311.0,1.0,1.0,0.0,50.0
460,1,walk,walk,6810,,6810.0,20.0,0.0,0.0,1.0,-13.31,-0.369,-0.006,0.0,28.0,26.49,0.0,0.0,9.0,0.0,0.0,-12.19,-0.21,-0.98,0.08,-1.6,-0.11,1.04,311.0,1.0,1.0,0.0,50.0
460,1,walk,walk,6811,,6811.0,20.0,0.0,0.0,1.0,-13.31,-0.369,0.023,0.0,28.0,26.49,0.0,0.0,9.0,0.0,0.0,-12.2,-0.21,-0.98,0.08,-1.6,-0.13,1.05,311.0,1.0,1.0,0.0,50.0
520,1,walk,walk,6812,,6812.0,20.0,0.0,0.0,1.0,-13.31,-0.369,-0.052,0.0,28.0,26.49,0.0,0.0,9.0,0.0,0.0,-12.2,-0.21,-0.98,0.08,-1.61,-0.15,1.06,311.0,1.0,1.0,0.0,50.0
520,1,walk,walk,6813,,6813.0,20.0,0.0,0.0,1.0,-13.3,-0.369,-0.021,0.0,28.0,26.49,0.0,0.0,9.0,0.0,0.0,-12.2,-0.21,-0.98,0.08,-1.61,-0.16,1.07,311.0,1.0,1.0,0.0,50.0
520,1,walk,walk,6814,,6814.0,20.0,0.0,0.0,1.0,-13.3,-0.368,0.08,0.0,28.0,26.49,0.0,0.0,9.0,0.0,0.0,-12.21,-0.21,-0.98,0.08,-1.61,-0.17,1.07,311.0,1.0,1.0,0.0,50.0
580,1,walk,walk,6815,,6815.0,20.0,0.0,0.0,1.0,-13.3,-0.369,0.015,0.0,28.0,26.49,0.0,0.0,9.0,0.0,0.0,-12.21,-0.21,-0.98,0.08,-1.6,-0.18,1.07,311.0,1.0,1.0,0.0,50.0
580,1,walk,walk,6816,,6816.0,20.0,0.0,0.0,1.0,-13.3,-0.369,-0.013,0.0,28.0,26.49,0.0,0.0,9.0,0.0,0.0,-12.22,-0.21,-0.98,0.08,-1.59,-0.19,1.07,311.0,1.0,1.0,0.0,50.0
620,1,walk,walk,6817,,6817.0,20.0,0.0,0.0,1.0,-13.3,-0.369,0.011,0.0,28.0,26.49,0.0,0.0,9.0,0.0,0.0,-12.22,-0.21,-0.98,0.08,-1.58,-0.2,1.07,311.0,1.0,1.0,0.0,50.0
620,1,walk,walk,6818,,6818.0,20.0,0.0,0.0,1.0,-13.29,-0.369,0.089,0.0,28.0,26.49,0.0,0.0,9.0,0.0,0.0,-12.22,-0.21,-0.98,0.08,-1.58,-0.21,1.07,311.0,1.0,1.0,0.0,50.0
620,1,walk,walk,6819,,6819.0,20.0,0.0,0.0,1.0,-13.29,-0.369,-0.038,0.0,28.0,26.49,0.0,0.0,9.0,0.0,0.0,-12.22,-0.21,-0.98,0.08,-1.57,-0.21,1.07,311.0,1.0,1.0,0.0,50.0
680,1,walk,walk,6820,,6820.0,20.0,0.0,0.0,1.0,-13.29,-0.369,-0.089,0.0,28.0,26.49,0.0,0.0,9.0,0.0,0.0,-12.22,-0.21,-0.98,0.08,-1.56,-0.2,1.07,311.0,1.0,1.0,0.0,50.0
680,1,walk,walk,6821,,6821.0,20.0,0.0,0.0,1.0,-13.29,-0.369,-0.009,0.0,28.0,26.49,0.0,0.0,9.0,0.0,0.0,-12.22,-0.21,-0.98,0.08,-1.56,-0.2,1.07,311.0,1.0,1.0,0.0,50.0
680,1,walk,walk,6822,,6822.0,20.0,0.0,0.0,1.0,-13.29,-0.369,-0.096,0.0,28.0,26.49,0.0,0.0,9.0,0.0,0.0,-12.22,-0.21,-0.98,0.08,-1.56,-0.2,1.06,311.0,1.0,1.0,0.0,50.0
740,1,walk,walk,6823,,6823.0,20.0,0.0,0.0,1.0,-13.29,-0.369,0.015,0.0,28.0,26.49,0.0,0.0,9.0,0.0,0.0,-12.22,-0.21,-0.98,0.08,-1.56,-0.19,1.06,311.0,1.0,1.0,0.0,50.0
740,1,walk,walk,6824,,6824.0,20.0,0.0,0.0,1.0,-13.29,-0.369,0.083,0.0,28.0,26.49,0.0,0.0,9.0,0.0,0.0,-12.22,-0.21,-0.98,0.08,-1.57,-0.17,1.05,311.0,1.0,1.0,0.0,50.0
740,1,walk,walk,6825,,6825.0,20.0,0.0,0.0,1.0,-13.29,-0.369,0.054,0.0,28.0,26.49,0.0,0.0,9.0,0.0,0.0,-12.22,-0.21,-0.98,0.08,-1.57,-0.16,1.05,311.0,1.0,1.0,0.0,50.0
780,1,walk,walk,6826,,6826.0,20.0,0.0,0.0,1.0,-13.29,-0.368,-0.018,0.0,28.0,26.49,0.0,0.0,9.0,0.0,0.0,-12.22,-0.21,-0.98,0.08,-1.57,-0.15,1.05,311.0,1.0,1.0,0.0,50.0
780,1,walk,walk,6827,,6827.0,20.0,0.0,0.0,1.0,-13.29,-0.369,0.002,0.0,28.0,26.49,0.0,0.0,9.0,0.0,0.0,-12.21,-0.21,-0.98,0.08,-1.58,-0.14,1.05,311.0,1.0,1.0,0.0,50.0
840,1,walk,walk,6828,,6828.0,20.0,0.0,0.0,1.0,-13.28,-0.369,0.022,0.0,28.0,26.49,0.0,0.0,9.0,0.0,0.0,-12.21,-0.21,-0.98,0.08,-1.58,-0.13,1.06,311.0,1.0,1.0,0.0,50.0
840,1,walk,walk,6829,,6829.0,20.0,0.0,0.0,1.0,-13.28,-0.369,-0.025,0.0,28.0,26.49,0.0,0.0,9.0,0.0,0.0,-12.21,-0.21,-0.98,0.08,-1.57,-0.12,1.07,311.0,1.0,1.0,0.0,50.0
840,1,walk,walk,6830,,6830.0,20.0,0.0,0.0,1.0,-13.28,-0.369,-0.028,0.0,28.0,26.49,0.0,0.0,9.0,0.0,0.0,-12.21,-0.21,-0.98,0.08,-1.57,-0.11,1.07,311.0,1.0,1.0,0.0,50.0
900,1,walk,walk,6831,,6831.0,20.0,0.0,0.0,1.0,-13.28,-0.368,0.026,0.0,28.0,26.49,0.0,0.0,9.0,0.0,0.0,-12.21,-0.21,-0.98,0.08,-1.56,-0.11,1.07,311.0,1.0,1.0,0.0,50.0
900,1,walk,walk,6832,,6832.0,20.0,0.0,0.0,1.0,-13.28,-0.368,-0.04,0.0,28.0,26.49,0.0,0.0,9.0,0.0,0.0,-12.2,-0.21,-0.98,0.08,-1.56,-0.1,1.07,311.0,1.0,1.0,0.0,50.0
940,1,walk,walk,6833,,6833.0,20.0,0.0,0.0,1.0,-13.28,-0.368,-0.06,0.0,28.0,26.49,0.0,0.0,9.0,0.0,0.0,-12.2,-0.21,-0.98,0.08,-1.55,-0.09,1.06,311.0,1.0,1.0,0.0,50.0
940,1,walk,walk,6834,,6834.0,20.0,0.0,0.0,1.0,-13.28,-0.368,0.013,0.0,28.0,26.49,0.0,0.0,9.0,0.0,0.0,-12.21,-0.21,-0.98,0.08,-1.54,-0.09,1.05,311.0,1.0,1.0,0.0,50.0
